DEBUG:uss_nmf:Initializing factor matrices
DEBUG:uss_nmf:Initialization completed
DEBUG:uss_nmf:::: [ 60] fit: 1271.49646 | delta: 3.5e-03 | secs: 1.08688
DEBUG:uss_nmf:::: [ 61] fit: 1267.18576 | delta: 3.4e-03 | secs: 0.84368
DEBUG:uss_nmf:::: [ 62] fit: 1263.02334 | delta: 3.3e-03 | secs: 1.11509
DEBUG:uss_nmf:::: [ 63] fit: 1258.99911 | delta: 3.2e-03 | secs: 0.71362
DEBUG:uss_nmf:::: [ 64] fit: 1255.10387 | delta: 3.1e-03 | secs: 0.66489
DEBUG:uss_nmf:::: [ 65] fit: 1251.32905 | delta: 3.0e-03 | secs: 0.67322
DEBUG:uss_nmf:::: [ 66] fit: 1247.66709 | delta: 2.9e-03 | secs: 1.08388
DEBUG:uss_nmf:::: [ 67] fit: 1244.11085 | delta: 2.9e-03 | secs: 0.79456
DEBUG:uss_nmf:::: [ 68] fit: 1240.65384 | delta: 2.8e-03 | secs: 1.16858
DEBUG:uss_nmf:::: [ 69] fit: 1237.29017 | delta: 2.7e-03 | secs: 0.88321
DEBUG:uss_nmf:::: [ 70] fit: 1234.01441 | delta: 2.6e-03 | secs: 1.08042
DEBUG:uss_nmf:::: [ 71] fit: 1230.82191 | delta: 2.6e-03 | secs: 0.87381
DEBUG:uss_nmf:::: [ 72] fit: 1227.70841 | delta: 2.5e-03 | secs: 1.01446
DEBUG:uss_nmf:::: [ 73] fit: 1224.67019 | delta: 2.5e-03 | secs: 1.00593
DEBUG:uss_nmf:::: [ 74] fit: 1221.70370 | delta: 2.4e-03 | secs: 0.82778
DEBUG:uss_nmf:::: [ 75] fit: 1218.80559 | delta: 2.4e-03 | secs: 0.66157
DEBUG:uss_nmf:::: [ 76] fit: 1215.97262 | delta: 2.3e-03 | secs: 0.66152
DEBUG:uss_nmf:::: [ 77] fit: 1213.20175 | delta: 2.3e-03 | secs: 0.72231
DEBUG:uss_nmf:::: [ 78] fit: 1210.49007 | delta: 2.2e-03 | secs: 0.93886
DEBUG:uss_nmf:::: [ 79] fit: 1207.83450 | delta: 2.2e-03 | secs: 0.68425
DEBUG:uss_nmf:::: [ 80] fit: 1205.23222 | delta: 2.2e-03 | secs: 0.79706
DEBUG:uss_nmf:::: [ 81] fit: 1202.68027 | delta: 2.1e-03 | secs: 0.78674
DEBUG:uss_nmf:::: [ 82] fit: 1200.17550 | delta: 2.1e-03 | secs: 0.66380
DEBUG:uss_nmf:::: [ 83] fit: 1197.71491 | delta: 2.1e-03 | secs: 0.66268
DEBUG:uss_nmf:::: [ 84] fit: 1195.29576 | delta: 2.0e-03 | secs: 0.66544
DEBUG:uss_nmf:::: [ 85] fit: 1192.91556 | delta: 2.0e-03 | secs: 0.65942
DEBUG:uss_nmf:::: [ 86] fit: 1190.57260 | delta: 2.0e-03 | secs: 0.87151
DEBUG:uss_nmf:::: [ 87] fit: 1188.26548 | delta: 1.9e-03 | secs: 0.66183
DEBUG:uss_nmf:::: [ 88] fit: 1185.99285 | delta: 1.9e-03 | secs: 0.65947
DEBUG:uss_nmf:::: [ 89] fit: 1183.75342 | delta: 1.9e-03 | secs: 0.65905
DEBUG:uss_nmf:::: [ 90] fit: 1181.54612 | delta: 1.9e-03 | secs: 0.65797
DEBUG:uss_nmf:::: [ 91] fit: 1179.37015 | delta: 1.8e-03 | secs: 0.83941
DEBUG:uss_nmf:::: [ 92] fit: 1177.22467 | delta: 1.8e-03 | secs: 0.88443
DEBUG:uss_nmf:::: [ 93] fit: 1175.10901 | delta: 1.8e-03 | secs: 0.65896
DEBUG:uss_nmf:::: [ 94] fit: 1173.02212 | delta: 1.8e-03 | secs: 0.66321
DEBUG:uss_nmf:::: [ 95] fit: 1170.96276 | delta: 1.8e-03 | secs: 0.86767
DEBUG:uss_nmf:::: [ 96] fit: 1168.92989 | delta: 1.7e-03 | secs: 0.66513
DEBUG:uss_nmf:::: [ 97] fit: 1166.92227 | delta: 1.7e-03 | secs: 0.66688
DEBUG:uss_nmf:::: [ 98] fit: 1164.93895 | delta: 1.7e-03 | secs: 0.66526
DEBUG:uss_nmf:::: [ 99] fit: 1162.97915 | delta: 1.7e-03 | secs: 0.67096
DEBUG:uss_nmf:::: [100] fit: 1161.04203 | delta: 1.7e-03 | secs: 0.66544
DEBUG:uss_nmf:::: [101] fit: 1159.12686 | delta: 1.6e-03 | secs: 0.66782
DEBUG:uss_nmf:::: [102] fit: 1157.23286 | delta: 1.6e-03 | secs: 0.65721
DEBUG:uss_nmf:::: [103] fit: 1155.35928 | delta: 1.6e-03 | secs: 0.65845
DEBUG:uss_nmf:::: [104] fit: 1153.50559 | delta: 1.6e-03 | secs: 0.65905
DEBUG:uss_nmf:::: [105] fit: 1151.67138 | delta: 1.6e-03 | secs: 0.65705
DEBUG:uss_nmf:::: [106] fit: 1149.85616 | delta: 1.6e-03 | secs: 0.65901
DEBUG:uss_nmf:::: [107] fit: 1148.05939 | delta: 1.6e-03 | secs: 0.65899
